Statement,Label
Says the Annies List political group supports third-trimester abortions on demand.,FALSE
When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,TRUE
"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",TRUE
Health care reform legislation is likely to mandate free sex change surgeries.,FALSE
The economic turnaround started at the end of my term.,TRUE
The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,TRUE
Jim Dunnam has not lived in the district he represents for years now.,FALSE
"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",TRUE
"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.",FALSE
Says the U.S. Supreme Court found that Social Security is not guaranteed.,TRUE
SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,FALSE
Oregonians have an amazing no-cost way to fight abortion with free political donations,TRUE
"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.",FALSE
"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.",FALSE
Newt Gingrichs immigration plan offers a new doorway to amnesty.,TRUE
Mr. Caprio is a career politician who has never worked in the private sector.,FALSE
"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.",FALSE
"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!",TRUE
President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,TRUE
